story_name,medium_link,ec_site_link,medium_settings_link
掰掰 Medium！我搬家到自架部落格啦,https://medium.com/@cloudarchitectec/%E6%8E%B0%E6%8E%B0-medium-%E6%88%91%E6%90%AC%E5%AE%B6%E5%88%B0%E8%87%AA%E6%9E%B6%E9%83%A8%E8%90%BD%E6%A0%BC%E5%95%A6-40851776c70b,https://cloudarchitectec.com/posts/2025-10-04-goodbye-medium/,https://medium.com/p/40851776c70b/settings
澳洲首次置業指南：Refinance 是什麼，可以吃嗎？手把手幫你釐清房貸轉貸考量與思路！,https://medium.com/@cloudarchitectec/australian-home-loan-consideration-refinance-7f5bf008f029,https://cloudarchitectec.com/posts/2025-07-23-refinance/,https://medium.com/p/7f5bf008f029/settings
轉職 IT 不踩雷：文組轉職工程師的 Coding Bootcamp 挑選指南,https://medium.com/@cloudarchitectec/career-transition-how-to-pick-a-coding-bootcamp-48aa81db1a5b,https://cloudarchitectec.com/posts/2025-07-11-why-coding-bootcamp/,https://medium.com/p/48aa81db1a5b/settings
倖存者日記：沒想到 2025 年還有續集？當裁員成為澳洲科技業的新常態！,https://medium.com/@cloudarchitectec/2025-australia-tech-layoff-observation-38002a6cc46d,https://cloudarchitectec.com/posts/2025-06-22-layoff/,https://medium.com/p/38002a6cc46d/settings
兩個女生的紐西蘭自駕滑雪行 : 2024.09.02–09.03 Whakapapa 雪場自駕+裝備+課程體驗總整理,https://medium.com/@cloudarchitectec/nz-snowboarding-whakapapa-59f9745b90cf,https://cloudarchitectec.com/posts/2024-09-01-nz-day3/,https://medium.com/p/59f9745b90cf/settings
兩個女生的紐西蘭自駕滑雪行 : 2024.09.04 紐西蘭飛機麥當勞+神秘超值旅館！陶波隱藏版玩法推薦,https://medium.com/@cloudarchitectec/huka-falls-lake-taupo-coolest-mcdonalds-b2fc2788e6ba,https://cloudarchitectec.com/posts/2024-09-01-nz-day4/,https://medium.com/p/b2fc2788e6ba/settings
兩個女生的紐西蘭自駕滑雪行 : 2024.09.05–09.06 滑完雪就是要泡湯！療癒的 Rotorua 行程,https://medium.com/@cloudarchitectec/rotorua-hot-pools-skyline-luge-718dd04d60bd,https://cloudarchitectec.com/posts/2024-09-01-nz-day5/,https://medium.com/p/718dd04d60bd/settings
太平洋小島上的大冒險：萬那杜花費分析以及心得總結,https://medium.com/@cloudarchitectec/solo-trip-in-vanuatu-expense-analysis-and-reflection-5a30ea45854a,https://cloudarchitectec.com/posts/2025-04-28-vanuatu-summary/,https://medium.com/p/5a30ea45854a/settings
太平洋小島上的大冒險：2025.04.26 Vanuatu Day 8 高級度假村午餐、高級住宿、高級蚊子包,https://medium.com/@cloudarchitectec/solo-trip-in-vanuatu-m-resort-and-spa-fatumaru-lodge-5b0ebe7f4e5e,https://cloudarchitectec.com/posts/2025-04-26-vanuatu-day-8/,https://medium.com/p/5b0ebe7f4e5e/settings
太平洋小島上的大冒險：2025.04.27 Vanuatu Day 9 挑戰完成！一個女生成功闖蕩萬那杜！,https://medium.com/@cloudarchitectec/solo-trip-in-vanuatu-challenge-completed-e6b1fae0557c,https://cloudarchitectec.com/posts/2025-04-27-vanuatu-day-9/,https://medium.com/p/e6b1fae0557c/settings
